987,990,0.06469
990,987,0.06469
984,986,0.0377
986,984,0.0377
983,988,0.06158
988,983,0.06158
981,997,0.05808
997,981,0.05808
979,993,0.05028
993,979,0.05028
977,992,0.05575
992,977,0.05575
975,978,0.0259
978,975,0.0259
974,998,0.06373
998,974,0.06373
973,984,0.06512
984,973,0.06512
973,986,0.07181
986,973,0.07181
973,995,0.06798
995,973,0.06798
971,985,0.04048
985,971,0.04048
969,970,0.06807
970,969,0.06807
966,968,0.06213
968,966,0.06213
966,995,0.04364
995,966,0.04364
963,968,0.0697
968,963,0.0697
961,967,0.0744
967,961,0.0744
961,991,0.03901
991,961,0.03901
956,999,0.06462
999,956,0.06462
952,994,0.02873
994,952,0.02873
948,987,0.01489
987,948,0.01489
947,959,0.07469
959,947,0.07469
947,974,0.0658
974,947,0.0658
947,998,0.03188
998,947,0.03188
946,990,0.01906
990,946,0.01906
944,947,0.03825
947,944,0.03825
944,974,0.02764
974,944,0.02764
944,998,0.04288
998,944,0.04288
943,945,0.02586
945,943,0.02586
942,979,0.01027
979,942,0.01027
942,993,0.04583
993,942,0.04583
938,961,0.07417
961,938,0.07417
938,991,0.03525
991,938,0.03525
936,965,0.04994
965,936,0.04994
935,943,0.01266
943,935,0.01266
935,945,0.03619
945,935,0.03619
933,944,0.02367
944,933,0.02367
933,947,0.02216
947,933,0.02216
933,974,0.04848
974,933,0.04848
933,998,0.02065
998,933,0.02065
932,934,0.02981
934,932,0.02981
931,945,0.07309
945,931,0.07309
931,958,0.06016
958,931,0.06016
930,996,0.06125
996,930,0.06125
929,949,0.06134
949,929,0.06134
929,982,0.03239
982,929,0.03239
928,988,0.06494
988,928,0.06494
927,946,0.06891
946,927,0.06891
926,994,0.06692
994,926,0.06692
925,960,0.01951
960,925,0.01951
924,975,0.05714
975,924,0.05714
924,978,0.05258
978,924,0.05258
923,946,0.04998
946,923,0.04998
923,969,0.06
969,923,0.06
923,987,0.06068
987,923,0.06068
923,990,0.03152
990,923,0.03152
922,981,0.0269
981,922,0.0269
922,997,0.03288
997,922,0.03288
921,989,0.02107
989,921,0.02107
919,929,0.06636
929,919,0.06636
919,949,0.05455
949,919,0.05455
919,982,0.06103
982,919,0.06103
918,927,0.03727
927,918,0.03727
918,952,0.05446
952,918,0.05446
918,994,0.0386
994,918,0.0386
916,950,0.05051
950,916,0.05051
914,928,0.05594
928,914,0.05594
914,983,0.05423
983,914,0.05423
914,988,0.0241
988,914,0.0241
913,933,0.07346
933,913,0.07346
913,944,0.05709
